path,text,speaker
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_059.wav,"एक साल के अंदर, मुझे इतना confidence मिलने लगा, कि मैं लोगों को जिम के बार में सिखाने लगा, वेटरने के बार में सिखाने लगा,",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_051.wav,I'm waiting for that person in my life.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_155.wav,Thank you to Mabharat. Thank you to Arjun.,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_209.wav,you try coming to terms with it but eventually,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_161.wav,मेरा 1 million subscriber का mark cross हो गया,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_182.wav,فوکس کی وجہ سے,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_256.wav,असेल कर सकतो,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_065.wav,being in the sky.,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_123.wav,hitting 1 million subscribers. This is back in 2018.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_127.wav,और इन रिटर्न उन्होंने मुझे विडियोग्रफी के बार में और भी ज्यादा से,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_057.wav,I really thought I'd be a father by 30.,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_056.wav,My partner? Yet?,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_067.wav,"I'm going to wait on it. Okay, this is not a, hey, ladies, come DM me.",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_080.wav,in life. You're going to have to go to war with this person. These are my four,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_160.wav,चैनल के 1 मिलियन सब्सक्राइबर हुए करते थे,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_134.wav,کہ نیکس سٹیپس کو حاصل کر,spk1
